metric,comparison,alternative,n,mean_lhs,mean_rhs,mean_diff,sd_diff,se,t,p_one,alpha,decision,reject_alpha_0_01,reject_alpha_0_05,bound_label,bound_99
RMSE,"Nonlinear Optimizer (300 iters, normal shrinkage) - IDW",less,100,1.1958287961082854,1.3066583620065795,-0.11082956589829417,0.12760398598939163,0.012760398598939163,-8.685431339700312,3.813616089587413e-14,0.01,reject,True,True,99\% upper bound,-0.08065625257245511
RMSE,"Nonlinear Optimizer (300 iters, normal shrinkage) - ILDW",less,100,1.1958287961082854,1.2389826521399783,-0.04315385603169296,0.08690018684880953,0.008690018684880953,-4.965910614987836,1.4283081615773519e-06,0.01,reject,True,True,99\% upper bound,-0.0226053869103516
RMSE,Virtual Convex Light Shrinkage (2000 iters) - IDW,less,100,0.8451991815198742,1.3066583620065795,-0.4614591804867054,0.49644528857254067,0.04964452885725407,-9.295267597635322,1.1657341758564144e-15,0.01,reject,True,True,99\% upper bound,-0.34406943654499833
RMSE,Virtual Convex Light Shrinkage (2000 iters) - ILDW,less,100,0.8451991815198742,1.2389826521399783,-0.3937834706201042,0.44020991408748045,0.044020991408748045,-8.945356704116614,1.1601830607332886e-14,0.01,reject,True,True,99\% upper bound,-0.28969117629313473
RMSE,Homotopy Light Shrinkage (2000 iters) - IDW,less,100,0.8452415926147205,1.3066583620065795,-0.4614167693918591,0.49646687125421507,0.04964668712542151,-9.294009250329038,1.8318679906315083e-15,0.01,reject,True,True,99\% upper bound,-0.344021921996592
RMSE,Homotopy Light Shrinkage (2000 iters) - ILDW,less,100,0.8452415926147205,1.2389826521399783,-0.39374105952525784,0.44023912205663224,0.04402391220566322,-8.943799853267178,1.021405182655144e-14,0.01,reject,True,True,99\% upper bound,-0.28964185866478165
