metric,comparison,alternative,n,mean_lhs,mean_rhs,mean_diff,sd_diff,se,t,p_one,alpha,decision,reject_alpha_0_01,reject_alpha_0_05,bound_label,bound_99
Pearson $r$,"Nonlinear Optimizer (300 iters, normal shrinkage) - IDW",greater,100,1.5563088987056222,1.3677814433783766,0.1885274553272456,0.12434752202396457,0.012434752202396458,15.161335928424219,2.4424906541753444e-15,0.01,reject,True,True,99\% lower bound,0.1591241673795425
Pearson $r$,"Nonlinear Optimizer (300 iters, normal shrinkage) - ILDW",greater,100,1.5563088987056222,1.4161453127629595,0.14016358594266265,0.1147355184064631,0.01147355184064631,12.216233289339213,1.5543122344752192e-15,0.01,reject,True,True,99\% lower bound,0.1130331580047094
Pearson $r$,Virtual Convex Light Shrinkage (2000 iters) - IDW,greater,100,1.8170670307038435,1.3677814433783766,0.44928558732546686,0.12929280877390983,0.012929280877390984,34.749464536045316,1.9984014443252818e-15,0.01,reject,True,True,99\% lower bound,0.418712933974048
Pearson $r$,Virtual Convex Light Shrinkage (2000 iters) - ILDW,greater,100,1.8170670307038435,1.4161453127629595,0.4009217179408839,0.11926528674819073,0.011926528674819073,33.61596059273852,1.1102230246251565e-15,0.01,reject,True,True,99\% lower bound,0.37272017832559023
Pearson $r$,Homotopy Light Shrinkage (2000 iters) - IDW,greater,100,1.8171479806413684,1.3677814433783766,0.4493665372629918,0.1290604175885041,0.01290604175885041,34.81830801878783,2.220446049250313e-15,0.01,reject,True,True,99\% lower bound,0.4188488352674969
Pearson $r$,Homotopy Light Shrinkage (2000 iters) - ILDW,greater,100,1.8171479806413684,1.4161453127629595,0.4010026678784088,0.11908053705205857,0.011908053705205857,33.67491261003484,1.5543122344752192e-15,0.01,reject,True,True,99\% lower bound,0.372844814284559
