metric,comparison,alternative,n,mean_lhs,mean_rhs,mean_diff,sd_diff,se,t,p_one,alpha,decision,reject_alpha_0_01,reject_alpha_0_05,bound_label,bound_99
Bias,"Nonlinear Optimizer (300 iters, normal shrinkage) - IDW",less,100,-0.18630771276415736,0.03433187801161129,-0.22063959077576867,0.30829015353814254,0.030829015353814253,-7.156880887811765,7.302419779975367e-11,0.01,reject,True,True,99\% upper bound,-0.14774112035689993
Bias,"Nonlinear Optimizer (300 iters, normal shrinkage) - ILDW",less,100,-0.18630771276415736,0.046834465476848844,-0.23314217824100622,0.29119745712966083,0.029119745712966084,-8.006326035230298,1.163069640597314e-12,0.01,reject,True,True,99\% upper bound,-0.16428545683426818
Bias,Virtual Convex Light Shrinkage (2000 iters) - IDW,less,100,0.0232983093366796,0.03433187801161129,-0.01103356867493169,0.24450611924664528,0.02445061192466453,-0.45125940851409074,0.32639476794322975,0.01,do not reject,False,False,99\% upper bound,0.046782491606502864
Bias,Virtual Convex Light Shrinkage (2000 iters) - ILDW,less,100,0.0232983093366796,0.046834465476848844,-0.023536156140169243,0.20834955313646772,0.02083495531364677,-1.1296475459562518,0.13067720807229538,0.01,do not reject,False,False,99\% upper bound,0.02573030132462995
Bias,Homotopy Light Shrinkage (2000 iters) - IDW,less,100,0.023129994692219547,0.03433187801161129,-0.011201883319391745,0.2445408463130532,0.02445408463130532,-0.45807821017563094,0.3239500704306235,0.01,do not reject,False,False,99\% upper bound,0.04662238854452191
Bias,Homotopy Light Shrinkage (2000 iters) - ILDW,less,100,0.023129994692219547,0.046834465476848844,-0.023704470784629297,0.20839485378973235,0.020839485378973236,-1.137478702259452,0.12904186866421502,0.01,do not reject,False,False,99\% upper bound,0.02557269849919515
